user_id,rank,career_code,career_title,cosine_similarity
user_44d2c2a48e55e151_01,2,15-2051.02,Clinical Data Managers,0.5467442505990066
user_44d2c2a48e55e151_01,3,29-2099.08,Patient Representatives,0.5345619285527641
user_44d2c2a48e55e151_01,4,15-2041.01,Biostatisticians,0.5230989106436793
user_44d2c2a48e55e151_01,5,29-9021.00,Health Information Technologists and Medical Registrars,0.5167987036296623
user_cc0e01ce3721b979_01,1,25-2021.00,"Elementary School Teachers, Except Special Education",0.5727259272484868
user_cc0e01ce3721b979_01,2,25-2011.00,"Preschool Teachers, Except Special Education",0.5723197425438308
user_cc0e01ce3721b979_01,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",0.569169908828218
user_cc0e01ce3721b979_01,4,25-2032.00,"Career/Technical Education Teachers, Secondary School",0.5592785359316114
user_cc0e01ce3721b979_01,5,25-9031.00,Instructional Coordinators,0.5536668429481243
user_62d85cb78ea1716c_01,1,25-9031.00,Instructional Coordinators,0.657272224598462
user_62d85cb78ea1716c_01,2,25-2032.00,"Career/Technical Education Teachers, Secondary School",0.6547638920019916
user_62d85cb78ea1716c_01,3,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",0.6534334673233478
user_62d85cb78ea1716c_01,4,25-2021.00,"Elementary School Teachers, Except Special Education",0.6463969434118907
user_62d85cb78ea1716c_01,5,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",0.6404035257605896
user_401d5da52dd742f9_01,1,25-1042.00,"Biological Science Teachers, Postsecondary",0.7005682635789083
user_401d5da52dd742f9_01,2,25-1071.00,"Health Specialties Teachers, Postsecondary",0.6778922586519956
user_401d5da52dd742f9_01,3,25-1052.00,"Chemistry Teachers, Postsecondary",0.6730014737022194
user_401d5da52dd742f9_01,4,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.6499784688091863
user_401d5da52dd742f9_01,5,25-1053.00,"Environmental Science Teachers, Postsecondary",0.6329123390808097
user_7e2b3392dcc781f8_01,1,25-2057.00,"Special Education Teachers, Middle School",0.6327694783114108
user_7e2b3392dcc781f8_01,2,11-9032.00,"Education Administrators, Kindergarten through Secondary",0.6293207171884891
user_7e2b3392dcc781f8_01,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",0.62926364706433
user_7e2b3392dcc781f8_01,4,25-2021.00,"Elementary School Teachers, Except Special Education",0.6255266475401754
user_7e2b3392dcc781f8_01,5,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",0.6216494797421709
user_afd6158961cff2d8_01,1,27-1021.00,Commercial and Industrial Designers,0.6684129863641493
user_afd6158961cff2d8_01,2,27-1022.00,Fashion Designers,0.6282649941978936
user_afd6158961cff2d8_01,3,51-6092.00,Fabric and Apparel Patternmakers,0.6101629686411112
user_afd6158961cff2d8_01,4,27-1012.00,Craft Artists,0.5819121168599861
user_afd6158961cff2d8_01,5,17-3013.00,Mechanical Drafters,0.568927259108051
user_dd183dedfd66b616_01,1,27-1024.00,Graphic Designers,0.7128158413049188
user_dd183dedfd66b616_01,2,27-1011.00,Art Directors,0.6153779515214228
user_dd183dedfd66b616_01,3,27-1014.00,Special Effects Artists and Animators,0.6070688380530188
user_dd183dedfd66b616_01,4,15-1255.01,Video Game Designers,0.5778128042007935
user_dd183dedfd66b616_01,5,43-9031.00,Desktop Publishers,0.5437379244378516
user_80759c846296c9bc_01,1,25-9031.00,Instructional Coordinators,0.5613886263266841
user_80759c846296c9bc_01,2,15-1255.00,Web and Digital Interface Designers,0.543526508923901
user_80759c846296c9bc_01,3,11-3021.00,Computer and Information Systems Managers,0.5372539050508998
user_80759c846296c9bc_01,4,25-1021.00,"Computer Science Teachers, Postsecondary",0.5157949827763386
user_80759c846296c9bc_01,5,15-1255.01,Video Game Designers,0.5048907463710457
user_2b4e85c9468be992_01,1,27-1025.00,Interior Designers,0.6629116913260534
user_2b4e85c9468be992_01,2,27-1021.00,Commercial and Industrial Designers,0.5968682032760004
user_2b4e85c9468be992_01,3,17-1011.00,"Architects, Except Landscape and Naval",0.5755785338396584
user_2b4e85c9468be992_01,4,27-1011.00,Art Directors,0.5617064830030838
user_2b4e85c9468be992_01,5,27-1027.00,Set and Exhibit Designers,0.5507983634184502
